n_batteries,rho_agents,run,feeder_limit_kw,sync_metric,violation_fraction,peak_charge_kw,peak_charge_ratio,peak_discharge_kw,peak_discharge_ratio,mean_abs_aggregate_power_kw,mean_abs_aggregate_power_ratio,fraction_charging_mean,fraction_charging_peak,fraction_discharging_mean,fraction_discharging_peak,max_feeder_loading_ratio,mean_feeder_loading_ratio,mean_headroom_before_battery_kw,min_headroom_before_battery_kw,mean_headroom_after_battery_kw,min_headroom_after_battery_kw,mean_initial_soc,low_soc_fraction,high_soc_fraction
10,0.05263157894736842,10,60.0,1.6743569628849215,0.0,27.796201184096198,0.46327001973493664,40.800863705133715,0.6800143950855619,16.22620043608718,0.2704366739347863,0.24583333333333332,0.8,0.22916666666666666,1.0,0.9831320671937139,0.5094376042594523,29.418101568902784,21.56060640972599,29.43374374443286,1.012075968377161,0.49044820126718536,0.2,0.2
10,0.05263157894736842,11,60.0,1.6928252333507867,0.041666666666666664,30.202902353113068,0.5033817058852178,30.0,0.5,14.814827166088577,0.24691378610147627,0.21666666666666665,0.8,0.1958333333333333,0.6,1.0468369380329,0.49074866998277544,30.03427896993264,24.414337515161904,30.55507980103347,-2.810216281974,0.43930059780406194,0.3,0.1
10,0.05263157894736842,12,60.0,1.690253401460894,0.041666666666666664,33.89190815850295,0.5648651359750492,34.17428601967457,0.5695714336612429,12.933884151579997,0.21556473585966662,0.21666666666666667,0.9,0.2041666666666667,0.9,1.0585581067082515,0.5030042316201241,29.051109875031205,23.923080203631393,29.81974610279255,-3.51348640249509,0.4629702702353441,0.4,0.2
10,0.05263157894736842,13,60.0,1.4424411673314534,0.125,37.962167209109005,0.6327027868184835,39.213220855791974,0.6535536809298662,19.29110789835947,0.32151846497265785,0.30416666666666664,1.0,0.29166666666666663,1.0,1.1374207704919177,0.5009678559423757,31.125059125561013,24.954263986682747,29.94192864345746,-8.245246229515061,0.4852147997555073,0.3,0.4
10,0.05263157894736842,14,60.0,1.6890134195842277,0.0,23.420993650531646,0.3903498941755274,38.44957210904358,0.640826201817393,16.942336453574896,0.2823722742262483,0.3,0.7,0.225,0.9,0.8855982915261876,0.5135274584663088,30.323104894666272,25.999723700837734,29.188352492021476,6.8641025084287435,0.5339351910271802,0.2,0.3
10,0.05263157894736842,15,60.0,1.686401323457628,0.08333333333333333,37.40375149869365,0.6233958583115609,30.644835821979374,0.5107472636996563,15.420408722705,0.25700681204508335,0.3,1.0,0.20833333333333334,0.8,1.1272457983638149,0.5319872311865473,29.123457798785655,21.58953438830121,28.080766128807156,-7.634747901828888,0.5478867463688548,0.3,0.4
10,0.05263157894736842,16,60.0,1.60419769155988,0.041666666666666664,30.980773933437497,0.5163462322239583,37.53063788422941,0.6255106314038235,11.248537679757812,0.18747562799596354,0.225,0.9,0.16666666666666666,0.9,1.0103845434840413,0.5273388017996152,29.109214003463745,20.222779130450277,28.359671892023087,-0.623072609042481,0.5619382725636518,0.0,0.3
10,0.05263157894736842,17,60.0,1.452024928449341,0.041666666666666664,37.02684589317884,0.6171140982196472,30.0,0.5,15.441111684655839,0.25735186141093064,0.25,1.0,0.21250000000000002,0.7,1.1681645926126962,0.49246550059824495,30.447119531336256,24.438682572649988,30.452069964105306,-10.089875556761768,0.4825919193615382,0.3,0.2
10,0.05263157894736842,18,60.0,1.6801057172778175,0.0,32.12439576163609,0.5354065960272681,43.76131559506045,0.7293552599176742,16.828822829294626,0.28048038048824375,0.27499999999999997,0.8,0.21666666666666665,1.0,0.9931181601422786,0.48441292369373573,31.086316182173835,19.39520808528384,30.935224578375863,0.412910391463285,0.4995188989702665,0.3,0.3
10,0.05263157894736842,19,60.0,1.399198341938823,0.041666666666666664,32.94881476038084,0.5491469126730141,31.32500990741839,0.5220834984569732,12.407099254891648,0.20678498758152747,0.17916666666666667,0.9,0.19166666666666665,1.0,1.0847551455449767,0.5013841794691917,29.159371021216142,21.71722329230724,29.916949231848502,-5.085308732698593,0.4873316949713913,0.3,0.2
10,0.10526315789473684,0,60.0,1.1376790920479751,0.0,21.570498104407093,0.3595083017401182,29.176375824173743,0.4862729304028957,7.4741414144323945,0.12456902357387324,0.08750000000000001,0.6,0.13749999999999998,0.8,0.9214750947796451,0.4657740346209371,30.33595382700246,24.582444569465878,32.05355792274377,4.711494313221294,0.5143223701187984,0.3,0.3
10,0.10526315789473684,1,60.0,1.915432987938641,0.041666666666666664,31.69392843950689,0.5282321406584481,39.4428607038879,0.657381011731465,17.19539965779596,0.2865899942965993,0.30833333333333335,0.8,0.22083333333333335,0.8,1.003003580132707,0.5071729954683523,30.183184369376487,22.85164751564728,29.569620271898867,-0.18021480796242173,0.5128266445419469,0.2,0.2
10,0.10526315789473684,2,60.0,1.3481148413995845,0.041666666666666664,29.14181529130208,0.48569692152170135,28.262702172166566,0.4710450362027761,12.913511532224533,0.2152251922037422,0.17500000000000004,0.8,0.19999999999999998,0.7,1.0286061569565972,0.5064600592269798,28.9084914481834,25.083763382053228,29.61239644638121,-1.716369417395832,0.44566543590940055,0.3,0.1
10,0.10526315789473684,3,60.0,1.528440306350755,0.0,31.843344819866537,0.5307224136644423,50.0,0.8333333333333334,14.34341553809409,0.2390569256349015,0.23749999999999996,1.0,0.20000000000000004,1.0,0.9220955659510326,0.48539539179724994,29.49044071240907,23.219374898583588,30.876276492165,4.674266042938044,0.5322576908472201,0.3,0.4
10,0.10526315789473684,4,60.0,1.4584654806759383,0.041666666666666664,28.549401270714956,0.47582335451191593,44.496596219442274,0.7416099369907045,15.613727295770738,0.2602287882628456,0.25416666666666665,1.0,0.22083333333333333,1.0,1.0483532909761684,0.5044962428044569,29.46935254554789,24.998486624994392,29.73022543173259,-2.9011974585700955,0.5012511372825784,0.3,0.2
10,0.10526315789473684,5,60.0,1.5772168027235127,0.08333333333333333,37.166669382276886,0.6194444897046147,35.56034591453172,0.5926724319088621,15.107860141153784,0.25179766901922973,0.23333333333333336,0.9,0.225,0.9,1.0784420635181309,0.5151417655429159,29.604117053332118,22.921323787779457,29.091494067425046,-4.706523811087848,0.5126359046254398,0.2,0.3
10,0.10526315789473684,6,60.0,1.3439469048957529,0.041666666666666664,38.66381947600437,0.6443969912667395,31.707080960974658,0.5284513493495776,11.808154553647398,0.1968025758941233,0.17916666666666667,1.0,0.18333333333333335,0.9,1.0978442122265648,0.47941332126094416,30.756509890856762,22.221541449223693,31.235200724343354,-5.870652733593886,0.5335008607278198,0.2,0.3
10,0.10526315789473684,7,60.0,1.1886886667220606,0.0,32.20651708162462,0.5367752846937436,50.0,0.8333333333333334,13.061482859582577,0.21769138099304294,0.19583333333333333,0.8,0.1875,1.0,0.9964305596540207,0.47758794781500163,30.169923595440025,23.088874964215066,31.344723131099897,0.21416642075875814,0.5884742364644308,0.0,0.5
10,0.10526315789473684,8,60.0,1.6428237063907984,0.041666666666666664,36.11653992591854,0.6019423320986423,45.0,0.75,15.246042725508454,0.25410071209180757,0.2791666666666667,1.0,0.16249999999999998,0.9,1.1179942049926241,0.5171793669642325,30.171703564818404,21.8201967671459,28.96923798214605,-7.079652299557452,0.5288678842372512,0.2,0.4
10,0.10526315789473684,9,60.0,1.3371458521585147,0.0,22.22177420373297,0.3703629033955495,34.99419521961194,0.5832365869935323,11.461987552257453,0.19103312587095755,0.16666666666666666,0.6,0.1875,0.9,0.919844818034056,0.480740436511367,30.25429640624598,24.98553674079396,31.155573809317975,4.809310917956637,0.5456544950561627,0.1,0.2
10,0.10526315789473684,10,60.0,1.568866676924581,0.0,23.931301411035264,0.3988550235172544,42.405519709308265,0.7067586618218045,14.267891887215328,0.23779819812025546,0.20833333333333334,0.7,0.22083333333333333,0.9,0.9215653538962668,0.4817919184970292,29.706125139715024,25.09991502098886,31.092484890178252,4.706078766223989,0.5299738532453724,0.2,0.2
10,0.10526315789473684,11,60.0,1.5887091168637906,0.041666666666666664,31.7382356135815,0.5289705935596917,34.0525201735414,0.5675420028923567,14.828742468801869,0.24714570781336448,0.20833333333333334,0.9,0.23750000000000002,0.9,1.1183823440671803,0.49410964277042946,28.827964401496104,24.635294969550678,30.35342143377423,-7.102940644030824,0.5939845194156679,0.0,0.4
10,0.10526315789473684,12,60.0,1.008698997483361,0.125,38.08372492022522,0.6347287486704204,28.51147004809089,0.47519116746818146,11.827931004199817,0.19713218340333027,0.1625,1.0,0.18333333333333335,0.7,1.1113797518614115,0.49840802650166666,29.855127401551766,23.429114979100305,30.0955184099,-6.682785111684694,0.46182841277743575,0.4,0.1
