n_batteries,rho_agents,sync_mean,violation_mean,peak_charge_ratio_mean,peak_charge_ratio_std,fraction_charging_mean,fraction_charging_peak_mean,max_feeder_loading_ratio_mean,mean_feeder_loading_ratio_mean,mean_headroom_before_battery_kw,min_headroom_before_battery_kw,mean_initial_soc,low_soc_fraction,high_soc_fraction
30,0.7894736842105263,1.029618186926151,0.13125,0.5989697211269769,0.06642503340547284,0.24006944444444445,0.9683333333333334,1.1081393161501227,0.5032163009919066,89.90255403372865,77.93491094475851,0.49995496494672,0.26166666666666666,0.23500000000000001
30,0.8421052631578947,0.8575027588504691,0.0875,0.5970719934793562,0.048502782864663814,0.190625,0.9816666666666667,1.104474050251613,0.4899120256476327,90.11538009551421,77.42653339318215,0.49624549191957457,0.25666666666666665,0.24500000000000002
30,0.894736842105263,0.7226474978655241,0.11875,0.625851954045802,0.017718065377429607,0.21527777777777776,1.0,1.1270540289312285,0.4970765642061995,90.4431272433825,78.05308893403223,0.4996318098800122,0.26666666666666666,0.2733333333333333
30,0.9473684210526315,0.5612417054818161,0.12916666666666668,0.6235589414612807,0.020878606465796343,0.22736111111111112,0.9983333333333334,1.1358313003164908,0.49303760601846525,89.8757713399237,76.75912425173445,0.5023698934425392,0.225,0.22833333333333333
30,1.0,0.07955608389863211,0.15833333333333333,0.6349180151055829,0.01291995664043874,0.20881944444444445,1.0,1.1430422592719576,0.5050800803858025,89.58192416628906,76.84461491702888,0.5037322810717815,0.25,0.27166666666666667
50,0.0,1.695774972460147,0.016666666666666666,0.45967262088822675,0.059565525274946574,0.21437500000000004,0.779,0.9541471951430507,0.497401354690056,149.7401580482948,133.57971520535733,0.49796262747736353,0.259,0.24500000000000002
50,0.05263157894736842,1.6625914873221999,0.029166666666666664,0.4992978019357219,0.05330264818273882,0.23266666666666666,0.833,1.0009562781834664,0.49130141158056617,150.07492386885434,133.73010965876955,0.5025646889232256,0.24700000000000003,0.257
50,0.10526315789473684,1.6411105930945884,0.025,0.48283524007481143,0.06502461012940461,0.22625,0.852,0.9803899338721888,0.5011036387898656,149.8320986020423,133.9423523262756,0.49437272681763406,0.267,0.24300000000000002
50,0.15789473684210525,1.607520587772824,0.02708333333333333,0.4886691290047841,0.05274055996557368,0.230125,0.8380000000000001,0.9943290523748006,0.5016071683476949,149.80005560558058,133.55815345397866,0.4907814958322635,0.255,0.22600000000000003
50,0.21052631578947367,1.6064170992048439,0.0375,0.4980265049484144,0.05863132478067651,0.230875,0.866,1.007685280211954,0.4984448805879424,149.62734057341683,135.03481641412742,0.49934595322441255,0.244,0.23900000000000002
50,0.2631578947368421,1.5237754741403333,0.0375,0.493304451646121,0.063013073813002,0.207,0.844,1.002509401745237,0.4906656291252135,149.9919971757095,133.53969908100183,0.4949436489223819,0.27399999999999997,0.24900000000000003
50,0.3157894736842105,1.5614904938047602,0.04583333333333333,0.5398636167961195,0.03729001273933061,0.22295833333333331,0.906,1.0418863333901294,0.4975187510580848,149.86669537435233,134.08738010413668,0.4975755239786415,0.252,0.24900000000000003
50,0.3684210526315789,1.4565079278364332,0.04791666666666666,0.5356625037943725,0.08306409320121248,0.21433333333333335,0.8949999999999999,1.0294560718622034,0.49098824731097046,150.28009906243267,134.31501080415086,0.4981116636093721,0.256,0.23900000000000002
50,0.42105263157894735,1.3762803211222872,0.075,0.5619186852250986,0.049051673991924144,0.2149166666666667,0.9359999999999999,1.0642297417373074,0.4903685002397922,149.68890194617853,134.47086245893672,0.49979902362378104,0.252,0.254
50,0.47368421052631576,1.406926617889284,0.06458333333333333,0.5614923744454903,0.0797116394696289,0.23041666666666666,0.938,1.060094201858122,0.4955790306350963,150.2473801077437,135.027298174093,0.5025535954563469,0.251,0.251
50,0.5263157894736842,1.3507388861131746,0.08541666666666667,0.5919278143756077,0.034193895534313394,0.24304166666666668,0.9629999999999999,1.1004328318093486,0.4995042397044017,150.2014421173547,134.3290412432328,0.49595634746959705,0.242,0.229
50,0.5789473684210527,1.2851560519322849,0.0875,0.579000087949918,0.04772183928859465,0.2285833333333333,0.976,1.085232410019128,0.4994872774816533,149.6343278793855,133.51331601485884,0.49264523595364523,0.271,0.24900000000000003
50,0.631578947368421,1.2106645095911652,0.07083333333333333,0.5648995023656214,0.08698291801810068,0.20787499999999998,0.9299999999999999,1.0643399045046202,0.4877358076938025,150.27868250108926,135.77566537780646,0.495302437806625,0.265,0.244
50,0.6842105263157894,1.177472647872731,0.09166666666666666,0.5896920952453895,0.04627692151470113,0.2185,0.97,1.1035689922572762,0.4950651759414549,149.92766781276578,134.12393327005472,0.498048616046034,0.24,0.23000000000000004
50,0.7368421052631579,1.056357995324745,0.1125,0.597975289215824,0.03634487100031441,0.22400000000000003,0.9869999999999999,1.1022449845741442,0.5018649810065833,149.38591706497505,134.18328869729217,0.5044488981918104,0.25,0.26
50,0.7894736842105263,1.0242575473928759,0.10833333333333332,0.6083643736144366,0.04004943535620524,0.22941666666666669,0.9970000000000001,1.1125711064524098,0.4931303300130285,150.2829788848092,132.79245510262115,0.4957022374632573,0.26,0.258
50,0.8421052631578947,0.9635682826645153,0.1125,0.6063304128348366,0.03630341708240843,0.241875,0.985,1.1145139071954313,0.501661706685225,149.57960150919433,133.91780121823498,0.4988986095149216,0.24,0.253
50,0.894736842105263,0.8058292220354722,0.17083333333333334,0.6279435551472581,0.014384185655761437,0.26758333333333334,1.0,1.1296203895981725,0.5045958353173758,149.79573197858235,133.2998254362964,0.4999255713804954,0.23700000000000002,0.255
50,0.9473684210526315,0.6652028000219703,0.15208333333333332,0.6258724979173018,0.014749117758207435,0.25125000000000003,1.0,1.125987786395282,0.5035804456764257,150.2608068901501,134.70347378035632,0.4993076485265212,0.242,0.24500000000000002
50,1.0,0.08008576179832848,0.16875,0.6393306621570971,0.012313096095222086,0.215375,1.0,1.1388851506141302,0.488334917563506,150.05725620055074,132.90990910392333,0.5017778433632377,0.26,0.266
