topology,rho_agents,run_id,run_seed,sync_index,mean_aggregate_battery_kw,std_aggregate_battery_kw,feeder_violation_fraction
legacy_ring,0.05128205128205128,7,4270353606,2.0541536431114724,-13.498356847743032,61.98422299820507,0.375
legacy_ring,0.05128205128205128,8,2022906821,2.0192694587241546,-12.981052849865918,67.1027029714428,0.375
legacy_ring,0.05128205128205128,9,671266115,1.8676435638641695,-13.250233683402248,70.10659506143703,0.375
legacy_ring,0.05128205128205128,10,3582317954,2.039862675845514,-14.013376693804963,67.22505048851363,0.4166666666666667
legacy_ring,0.05128205128205128,11,3733880613,1.9612665512956922,-14.294702606591379,63.44220396076295,0.3333333333333333
legacy_ring,0.05128205128205128,12,3574042803,2.0391170932426,-15.017088432385746,67.27828497166915,0.4166666666666667
legacy_ring,0.05128205128205128,13,2492963502,2.116807563667851,-15.331149980467634,57.56996912734621,0.4166666666666667
legacy_ring,0.05128205128205128,14,1474226943,1.9817112607056895,-14.028340229463709,57.976544162615234,0.3333333333333333
legacy_ring,0.05128205128205128,15,3247318610,2.180506736269755,-12.59251143026288,61.16970745562889,0.4166666666666667
legacy_ring,0.05128205128205128,16,812783817,2.229235025720001,-13.856719451986812,68.18203110257114,0.4583333333333333
legacy_ring,0.05128205128205128,17,2755424256,2.170705168423945,-12.229022582183902,66.0926204087786,0.5
legacy_ring,0.05128205128205128,18,1091436516,2.0900014595460883,-13.227931501643932,60.3943607419913,0.4166666666666667
legacy_ring,0.05128205128205128,19,415550533,2.087753874594645,-13.863950953778563,56.48640706252015,0.375
legacy_ring,0.07692307692307693,0,1589782143,2.19854622072017,-13.574663106394253,61.64000567702804,0.4166666666666667
legacy_ring,0.07692307692307693,1,2341637219,2.0486212988798593,-13.086564302002051,70.23512361566564,0.5
legacy_ring,0.07692307692307693,2,794087857,1.8716716077268296,-11.564756032171246,68.20937812896678,0.375
legacy_ring,0.07692307692307693,3,1840792566,2.1464481566582605,-13.606060839315532,68.5203400035964,0.4166666666666667
legacy_ring,0.07692307692307693,4,3440757453,2.069731420516398,-14.168583103811997,64.00848459510144,0.2916666666666667
legacy_ring,0.07692307692307693,5,3520405245,2.0660957434166973,-14.482009367215761,65.98876485469496,0.375
legacy_ring,0.07692307692307693,6,2184714892,2.1472272502753977,-13.702281813237546,55.21922360929375,0.4583333333333333
legacy_ring,0.07692307692307693,7,2999727799,1.841387123414077,-14.046437280353802,65.33041306169709,0.4166666666666667
legacy_ring,0.07692307692307693,8,1094293478,1.9151969742479535,-12.019020898148803,65.36112002924862,0.375
legacy_ring,0.07692307692307693,9,1866610720,2.1563132836439944,-14.24511897442144,63.22785920304369,0.375
legacy_ring,0.07692307692307693,10,2306684968,2.1642153851229886,-14.409363963468051,65.02646862760625,0.4166666666666667
legacy_ring,0.07692307692307693,11,4251990,2.0914090316777574,-14.611488026023016,61.4011610597051,0.375
legacy_ring,0.07692307692307693,12,668793318,1.981571695417351,-12.900702631080735,70.50055836962527,0.375
legacy_ring,0.07692307692307693,13,4237526048,2.094237611087061,-13.308386779042886,66.35518237849975,0.4583333333333333
legacy_ring,0.07692307692307693,14,2749615411,2.0626087017477635,-15.05576919780423,67.1152875998212,0.4166666666666667
legacy_ring,0.07692307692307693,15,2551622833,2.025904329046703,-13.80433643343813,66.50148522876003,0.375
legacy_ring,0.07692307692307693,16,595833495,1.9011157987639729,-13.369544430510295,69.17866769258876,0.375
legacy_ring,0.07692307692307693,17,1050015747,2.0493760430093775,-13.665768786030773,66.78858111349679,0.375
