topology,rho_agents,sync_mean,sync_std,violation_mean,violation_std,peak_charge_ratio_mean,peak_charge_ratio_std,curtailment_fraction_mean,curtailment_fraction_std,absorption_fraction_mean,absorption_fraction_std
star,0.15000000000000002,1.5267445137195204,0.11369437219561027,0.007291666666666666,0.01587169161242323,0.461291371979163,0.0912583461583508,0.2830259117534201,0.10676304639965507,0.7169740882465798,0.10676304639965506
star,0.2,1.5018321093880416,0.13204220614134854,0.008125,0.018538849229791356,0.4719184858166662,0.09187936212682167,0.27397669555668874,0.10354968784585482,0.7260233044433113,0.10354968784585482
star,0.25,1.4826726667285373,0.13156817729860307,0.010416666666666664,0.01856353870604683,0.4786316669201433,0.09876166156780809,0.27738894352320126,0.11585259714560923,0.7226110564767987,0.11585259714560923
star,0.30000000000000004,1.4643728884090814,0.14158752482614512,0.013125,0.020708377357903245,0.48338248894602337,0.10502861855440086,0.2966066190492248,0.1127093098866336,0.7033933809507752,0.1127093098866336
star,0.35000000000000003,1.4083019640161725,0.13592521525638585,0.013125,0.02193585994265521,0.48700061368369524,0.10165100953234517,0.30370613427986165,0.12102532857211501,0.6962938657201384,0.12102532857211504
star,0.4,1.3789514279789485,0.1461101752332733,0.01625,0.024637942213956245,0.4997741193370102,0.10554175560561589,0.31782255123324316,0.12011087937089661,0.6821774487667568,0.12011087937089661
star,0.45,1.3375126904813888,0.15525591413692938,0.0225,0.025006978367198018,0.5270769121981619,0.09534435392498974,0.3079634513140536,0.1271823275309742,0.6920365486859464,0.12718232753097417
star,0.5,1.2932916613670273,0.1563728079377989,0.025625,0.026966715168299127,0.5262706671037551,0.10846063699869489,0.3171214349890599,0.1324363681193361,0.6828785650109401,0.13243636811933615
star,0.55,1.248937472975251,0.15954217924729144,0.027291666666666665,0.026940821419142634,0.5327486065042951,0.10680068914547865,0.3235279235773171,0.13781329167323014,0.676472076422683,0.13781329167323014
star,0.6000000000000001,1.2284270878521895,0.17304058929435576,0.02645833333333333,0.027127991142101158,0.5321118246802569,0.11250438929189907,0.34211809022319506,0.14059513638165066,0.6578819097768048,0.14059513638165064
star,0.65,1.1724323194326776,0.1605034588693896,0.03395833333333333,0.032911246187711275,0.5517910792048816,0.09551394785820319,0.3311013938809232,0.13428730578581377,0.6688986061190768,0.13428730578581374
star,0.7000000000000001,1.0938820970548284,0.16733462204689026,0.03916666666666666,0.031158086494394725,0.5746966530329418,0.08816547187479616,0.3253449953043293,0.14211083914049488,0.6746550046956706,0.1421108391404949
star,0.75,1.0214935409274677,0.17444732067267296,0.04,0.03093327773922111,0.5696190537977537,0.09431933874306331,0.3549220771526577,0.15708373733542794,0.6450779228473423,0.15708373733542796
star,0.8,0.9587071604040576,0.16181841047023254,0.048125,0.034972645248673405,0.5827240642418606,0.08936092386555348,0.3682282364354861,0.14982386609225015,0.6317717635645139,0.14982386609225018
star,0.8500000000000001,0.8466358233359782,0.17561306968598125,0.05270833333333333,0.034057640527204606,0.593291500143739,0.08650850939910514,0.3451115961021622,0.1720898357390908,0.6548884038978379,0.1720898357390908
star,0.9,0.7477922546032062,0.17277090678813983,0.05520833333333333,0.03640033374136029,0.608827707872627,0.08128710711807728,0.3908503570602195,0.1644577502616792,0.6091496429397805,0.16445775026167925
star,0.9500000000000001,0.573847435502184,0.17711385281707603,0.05979166666666666,0.034083246816696305,0.6191114780994202,0.07408903265205444,0.42097029860282303,0.20757837357826933,0.5790297013971769,0.20757837357826936
star,1.0,0.14921156394488344,0.01583413109734668,0.085,0.03490835093246486,0.6528433319119611,0.018408057133729894,0.41530080138903935,0.19833082615080092,0.5846991986109606,0.19833082615080092
