topology,rho_agents,run_id,run_seed,sync_index,feeder_violation_fraction,peak_charge_kw,peak_charge_ratio,pv_surplus_kwh,pv_absorbed_by_batteries_kwh,pv_curtailment_risk_kwh,pv_curtailment_fraction,pv_absorption_fraction
linear,0.0,74,2948401464,1.7927861142495756,0.0,46.16881763716174,0.3847401469763478,195.37224277278602,157.59841507896456,37.773827693821474,0.19334285749973026,0.8066571425002698
linear,0.0,75,2043137099,1.7374180013640987,0.0,39.71249774628787,0.33093748121906563,197.5903253475974,139.53693381744057,58.05339153015683,0.2938068522739174,0.7061931477260825
linear,0.0,76,1418182452,1.6895645876455638,0.0,45.03747054452148,0.375312254537679,211.6085030835353,155.47512292050504,56.13338016303029,0.2652699647937629,0.7347300352062371
linear,0.0,77,974568232,1.826502847366313,0.0,39.87227622366729,0.33226896853056076,188.339553971819,148.0166299046203,40.322924067198684,0.21409694998657666,0.7859030500134233
linear,0.0,78,2424508582,1.7615807910720473,0.0,55.20891879234495,0.4600743232695413,192.71852353225864,131.6549909012125,61.06353263104616,0.3168534685293233,0.6831465314706768
linear,0.0,79,2876829200,1.5085714950213294,0.0,40.1604057964648,0.3346700483038733,190.4371789912312,137.91936827977645,52.51781071145476,0.2757749877920265,0.7242250122079734
linear,0.0,80,4038583929,1.7998273460907093,0.0,44.37686798577103,0.36980723321475856,200.28028334181772,154.67995031625185,45.60033302556589,0.22768258694611462,0.7723174130538855
linear,0.0,81,1877553193,1.5581057020371893,0.0,45.19276644545174,0.37660638704543115,189.41706774576872,146.01380003965886,43.403267706109816,0.22914127128377204,0.7708587287162277
linear,0.0,82,690150400,1.7852252670163329,0.0,47.616303459455516,0.39680252882879596,189.15297806862728,158.64306077140157,30.509917297225712,0.16129757833448596,0.838702421665514
linear,0.0,83,3576325619,1.5565255220896905,0.0,49.536407905310575,0.41280339921092146,185.10877400061077,154.0294000942901,31.07937390632065,0.1678978971910759,0.832102102808924
linear,0.0,84,2704817078,1.6722654485455601,0.0,50.01686822450931,0.41680723520424423,183.82764543003623,153.18357527967015,30.64407015036606,0.16670000901485202,0.8332999909851478
linear,0.0,85,3007615710,1.5441895748187058,0.0,50.710781689236526,0.42258984741030436,187.0688790580793,126.9164115728132,60.15246748526609,0.32155250936522983,0.6784474906347702
linear,0.0,86,417585214,1.4801947955330412,0.0,44.79079309711698,0.3732566091426415,199.46888741996142,158.51095107901156,40.95793634094987,0.20533496161091583,0.7946650383890842
linear,0.0,87,1341604508,1.6477146746349078,0.0,48.72794981711169,0.40606624847593076,179.65434910854265,131.76426496190177,47.89008414664085,0.26656790878859754,0.7334320912114024
linear,0.0,88,3297864500,1.5480378430158908,0.0,46.21280231958888,0.385106685996574,189.8015078955401,143.02066770047824,46.7808401950619,0.24647243698826873,0.7535275630117314
linear,0.0,89,3574528627,1.4724235056618882,0.0,48.57951111761718,0.4048292593134765,197.2922993957768,157.68875435881716,39.60354503695965,0.20073538175716246,0.7992646182428376
linear,0.0,90,1869241353,1.8235682593265465,0.0,42.72761116016969,0.3560634263347474,191.06313048650912,158.1280329266071,32.935097559902026,0.1723780902994655,0.8276219097005345
linear,0.0,91,3456436595,1.5994246023725063,0.0,50.61495268572146,0.42179127238101216,199.4146260552324,164.0631380040386,35.35148805119381,0.177276304905551,0.8227236950944491
linear,0.0,92,3615039049,1.5775490976645603,0.0,43.695106149541395,0.3641258845795116,189.19131059571225,162.46021125290252,26.73109934280975,0.14129136934799358,0.8587086306520065
linear,0.0,93,1664206964,1.6495064324620357,0.0,48.86193907264007,0.4071828256053339,200.10584001705257,148.10328632811104,52.00255368894151,0.25987524244424837,0.7401247575557516
linear,0.0,94,3857256981,1.7390204566850294,0.0,42.926566753680454,0.3577213896140038,197.7443399135667,151.70465482311064,46.03968509045604,0.23282428771705835,0.7671757122829416
linear,0.0,95,1238359775,1.6310732152846397,0.0,42.428652524718146,0.35357210437265124,188.36842363574064,129.73904401833568,58.62937961740497,0.31124844857639267,0.6887515514236073
linear,0.0,96,1028892848,1.571049521347063,0.0,47.88163538995049,0.3990136282495874,192.59001853294455,147.56292165867606,45.02709687426852,0.23379766624076712,0.7662023337592331
linear,0.0,97,2931295868,1.5491767765156699,0.0,45.51923077193494,0.37932692309945787,190.35056331352655,149.2338162638282,41.116747049698375,0.21600538676617917,0.783994613233821
linear,0.0,98,2734871216,1.5486667057210275,0.0,57.158483829757174,0.47632069858130976,195.10195531874922,158.66428136276159,36.437673955987655,0.1867622182281943,0.8132377817718058
linear,0.0,99,600232345,1.6131942097393661,0.0,50.61242177728747,0.4217701814773956,197.2784710223224,156.90610986113836,40.37236116118403,0.20464656357061803,0.7953534364293819
linear,0.0,100,3576577092,1.707423865806879,0.0,45.08873850038415,0.3757394875032013,178.94521274625455,144.27848153013844,34.666731216116126,0.19372818464427863,0.8062718153557213
linear,0.0,101,858599190,1.5336038954468911,0.0,52.50796533570326,0.43756637779752716,183.39453834702118,150.97831010676572,32.41622824025549,0.17675678094031974,0.8232432190596805
linear,0.0,102,3457015366,1.465360759251671,0.0,48.04274065863656,0.40035617215530467,188.37106967125445,138.7482426410255,49.62282703022891,0.26343125362525555,0.7365687463747443
linear,0.0,103,31620706,1.774315695231315,0.0,43.97129228050249,0.36642743567085406,189.8822973536118,152.11051204328052,37.77178531033127,0.19892209983108677,0.8010779001689132
linear,0.0,104,3422412848,1.6077260358723464,0.0,41.227927387463126,0.3435660615621927,190.67741695238956,129.40869383113107,61.268723121258475,0.3213213399914932,0.6786786600085067
linear,0.0,105,3379814464,1.544804837182875,0.0,48.90985054385116,0.4075820878654263,188.02967519723154,159.00789459786432,29.02178059936722,0.1543468102517603,0.8456531897482397
linear,0.0,106,3351639226,1.7155099514989856,0.0,45.934776323421055,0.38278980269517543,196.67719892764154,150.95575404246327,45.721444885178265,0.23246947350515906,0.7675305264948409
linear,0.0,107,2855512684,1.7932953018088469,0.0,45.34638589102824,0.377886549091902,195.38417820460464,163.96919745609293,31.41498074851171,0.16078569430332385,0.8392143056966762
linear,0.0,108,2025365462,1.7462645372515802,0.0,48.0642835827757,0.40053569652313087,203.24486821846318,167.818640840444,35.426227378019206,0.1743031826020836,0.8256968173979166
linear,0.0,109,3028662238,1.4837320619448846,0.0,44.49094827727901,0.3707579023106584,186.2149287202211,138.30267523995903,47.91225348026209,0.25729544784375435,0.7427045521562456
linear,0.0,110,1190228316,1.7638662980884898,0.0,53.02382737416629,0.4418652281180524,197.68533571658716,151.90049030175174,45.78484541483541,0.2316046622723455,0.7683953377276544
linear,0.0,111,3353205654,1.6308536915127514,0.0,47.79235918426174,0.3982696598688478,197.27127291690726,157.61526913519862,39.65600378170864,0.20102269932841244,0.7989773006715876
linear,0.0,112,2386485524,1.7408479172773454,0.0,54.01137526218742,0.45009479385156187,196.4783336332439,150.66096452833432,45.817369104909595,0.23319298498548216,0.766807015014518
linear,0.0,113,1971028246,1.6717255200743306,0.0,52.17430153367253,0.4347858461139378,185.49046075512564,156.4128547906335,29.0776059644921,0.15676065413886037,0.8432393458611395
linear,0.0,114,2171562312,1.5728463551140894,0.0,43.00574827867007,0.3583812356555839,198.9602777204771,167.2005811340984,31.75969658637873,0.159628328580233,0.8403716714197671
linear,0.0,115,2442724835,1.6004751445905196,0.0,47.383578007096695,0.39486315005913913,186.1048355956683,162.58579388468206,23.519041710986258,0.12637523165751463,0.8736247683424855
linear,0.0,116,160040410,1.673733515102919,0.0,54.53933770812121,0.4544944809010101,196.32086526702108,162.40470120990796,33.91616405711313,0.1727588354451417,0.8272411645548583
linear,0.0,117,600423534,1.766705521363393,0.0,43.71461622116651,0.3642884685097209,190.00813096986667,144.48455230265262,45.52357866721407,0.23958752941174732,0.7604124705882528
linear,0.0,118,1054333581,1.6816361528986008,0.0,41.38333452639817,0.3448611210533181,202.57292352365124,148.58517497512403,53.987748548527236,0.2665101910434932,0.733489808956507
